Car.ID,Brand,Year,Engine.Size,Fuel.Type,Transmission,Mileage,Condition,Price,Model
1,Tesla,2016,NA,Electric,Automatic,61234,Used,64827.241500000004,Model X
2,BMW,2018,2,Petrol,Manual,25258,Used,23271.83,5 Series
3,Audi,2013,3,Petrol,Manual,67987,Used,13597.37,A4
5,Ford,2009,5.4,Petrol,Manual,108525,Used,9209.05,Mustang
6,Audi,2019,2,Hybrid,Automatic,68260,Used,56617.092000000004,Q7
7,Audi,2020,2,Petrol,Automatic,68216,Used,39286.894499999995,Q5
9,Honda,2023,1.5,Petrol,Manual,18327,Used,22797.83,Civic
10,Ford,2010,4,Petrol,Automatic,113251,Used,7516.9605,Explorer
12,Ford,2017,5,Petrol,Automatic,57500,Used,30207.6495,Mustang
13,Ford,2006,2,Petrol,Automatic,129164,Used,5731.11,Fiesta
14,Audi,2023,4,Diesel,Automatic,0,New,60886.847175,Q7
15,BMW,2014,2,Diesel,Automatic,95803,Used,23020.126500000002,X3
16,Ford,2010,4,Petrol,Automatic,108744,Used,9695.4375,Mustang
17,Mercedes,2017,1.5,Diesel,Automatic,19561,Used,20496.272999999997,GLA
18,Audi,2022,1,Petrol,Automatic,24488,Used,31284.918,A3
19,Honda,2011,1.8,Petrol,Automatic,75453,Used,10468.006500000001,Civic
20,BMW,2005,3,Diesel,Automatic,139350,Used,9381.729,X5
21,Mercedes,2019,3,Petrol,Automatic,66338,Used,44521.953,C-Class
22,Mercedes,2022,2,Hybrid,Automatic,21802,Used,66698.41500000001,E-Class
23,Honda,2012,2.2,Diesel,Manual,95522,Used,14828.23,CR-V
24,BMW,2019,4.4,Petrol,Automatic,36825,Used,35406.9345,X5
25,Audi,2015,3.2,Petrol,Automatic,92343,Used,22827.210000000003,Q5
26,Toyota,2017,2,Petrol,Automatic,54192,Used,21216.457500000004,Camry
27,BMW,2009,2.5,Petrol,Manual,97149,Used,9067.25,X3
28,Honda,2022,1.5,Petrol,Manual,19444,Used,25777.62,Accord
30,Audi,2017,1.6,Diesel,Automatic,86945,Used,24309.2955,A3
31,BMW,2020,3,Diesel,Automatic,54319,Used,46020.135,X5
32,Toyota,2000,1.6,Petrol,Automatic,113479,Used,3598.0455,Corolla
33,Toyota,2022,2,Petrol,Automatic,5160,Like New,23153.802000000003,Corolla
34,Ford,2007,1.4,Petrol,Manual,139904,Used,5995.2,Fiesta
35,Ford,2005,4,Petrol,Automatic,113873,Used,5102.5695000000005,Mustang
37,Honda,2014,1.5,Hybrid,Automatic,107065,Used,14340.4275,Fit
38,BMW,2021,2,Diesel,Automatic,28777,Used,71958.978,5 Series
39,BMW,2014,2,Diesel,Manual,77838,Used,18031.61,X3
41,Mercedes,2000,2.9,Diesel,Manual,148147,Used,9814.73,E-Class
42,Mercedes,2022,1.3,Hybrid,Automatic,20046,Used,42874.8075,GLA
43,Tesla,2022,NA,Electric,Automatic,7359,Used,42917.238,Model Y
46,BMW,2017,1.6,Petrol,Automatic,23931,Used,23568.268500000002,5 Series
47,Tesla,2017,NA,Electric,Automatic,43420,Used,44094.897000000004,Model S
48,BMW,2016,4.4,Petrol,Automatic,39278,Used,36895.2675,X5
49,Toyota,2007,1.5,Hybrid,Automatic,100080,Used,8481.564,Prius
50,Ford,2014,2,Petrol,Automatic,112379,Used,18349.548,Explorer
52,Ford,2016,3.7,Petrol,Automatic,32711,Used,22999.840500000002,Mustang
54,Audi,2007,1.9,Diesel,Automatic,114634,Used,11370.754500000001,A4
55,Toyota,2013,2,Petrol,Manual,84634,Used,12195.15,Camry
58,BMW,2000,4.4,Petrol,Manual,146179,Used,9040.67,5 Series
59,Toyota,2018,1.8,Hybrid,Automatic,47844,Used,20081.8695,Prius
60,BMW,2015,3,Diesel,Manual,83412,Used,18353.08,3 Series
62,Honda,2020,1.5,Petrol,Automatic,52074,Used,19335.5925,Accord
63,Honda,2015,2.2,Diesel,Automatic,91216,Used,14891.5305,CR-V
64,Toyota,2004,3,Petrol,Automatic,102631,Used,3830.4105000000004,Camry
65,Honda,2008,1.2,Petrol,Automatic,113380,Used,7478.856000000001,Fit
66,Audi,2001,1.6,Petrol,Manual,128682,Used,6471.88,A4
67,Honda,2017,1.5,Petrol,Automatic,37926,Used,17493.84,CR-V
68,BMW,2005,3,Diesel,Manual,139898,Used,8851.31,X3
69,BMW,2008,2,Petrol,Manual,101889,Used,10943.75,5 Series
71,BMW,2008,2.2,Petrol,Manual,136016,Used,15948.98,5 Series
72,Tesla,2015,NA,Electric,Automatic,48526,Used,47097.393000000004,Model S
73,BMW,2012,4.8,Petrol,Manual,89229,Used,25768.64,X5
74,Audi,2008,2.5,Petrol,Automatic,139590,Used,11506.971000000001,A3
75,Tesla,2020,NA,Electric,Automatic,52408,Used,49379.7255,Model S
76,Ford,2012,1.4,Diesel,Manual,86489,Used,8040.77,Fiesta
78,Toyota,2010,2,Petrol,Automatic,87293,Used,6486.018,RAV4
79,BMW,2003,4.6,Petrol,Automatic,152571,Used,10769.934000000001,X5
80,Honda,2001,1.5,Petrol,Manual,145324,Used,5766.19,Fit
81,BMW,2005,2.5,Diesel,Automatic,108334,Used,6015.7125000000005,5 Series
82,Honda,2013,2.2,Diesel,Manual,71846,Used,11276.87,CR-V
84,Mercedes,2005,5,Petrol,Manual,173773,Used,12377.31,E-Class
85,Mercedes,2018,4,Petrol,Automatic,66729,Used,45813.715500000006,GLC
86,Honda,2005,1.5,Petrol,Automatic,146287,Used,6105.0465,Fit
88,Mercedes,2017,3,Petrol,Manual,55054,Used,37478.09,C-Class
89,Audi,2012,1.2,Petrol,Manual,88076,Used,10615.26,A3
91,Honda,2022,1.5,Petrol,Automatic,10048,Used,25018.035000000003,CR-V
92,Honda,2018,2.4,Petrol,Automatic,22101,Used,13173.615,CR-V
93,BMW,2012,4.4,Petrol,Manual,93695,Used,20923.81,3 Series
95,Honda,2000,1.2,Petrol,Manual,128154,Used,4907.68,Fit
96,Mercedes,2023,2,Hybrid,Automatic,29038,Used,61989.731999999996,C-Class
98,Mercedes,2006,3.2,Petrol,Manual,93877,Used,11020.31,E-Class
99,Tesla,2020,NA,Electric,Automatic,52049,Used,35543.613,Model 3
103,BMW,2006,4.4,Petrol,Automatic,113712,Used,14361.5955,X5
104,Toyota,2014,2.5,Hybrid,Automatic,54576,Used,8070.730500000001,Camry
105,Mercedes,2020,3,Diesel,Manual,28843,Used,27788.93,GLC
106,Audi,2018,2.9,Petrol,Manual,62870,Used,31718.36,A4
108,Honda,2016,3.5,Petrol,Manual,62870,Used,20573.98,Accord
111,Honda,2011,2,Petrol,Automatic,70875,Used,10249.522500000001,Accord
113,BMW,2010,4.8,Petrol,Automatic,137885,Used,18084.36,X5
114,BMW,2002,3.2,Petrol,Manual,175516,Used,9663.72,3 Series
115,BMW,2007,2.5,Diesel,Manual,132556,Used,15441.51,5 Series
116,Audi,2013,2,Diesel,Automatic,116014,Used,17012.961,A3
117,Toyota,2013,2.5,Hybrid,Automatic,67082,Used,10040.457,Camry
